Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Method,Discovery Year,Discovery Facility,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbital Period Limit Flag,Planet Radius [Earth Radius],Planet Radius Limit Flag,Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag,Planet Density [g/cm**3],Planet Density Limit Flag,Stellar Effective Temperature [K],Stellar Effective Temperature Limit Flag,Stellar Radius [Solar Radius],Stellar Radius Limit Flag,Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Mass Limit Flag,Stellar Luminosity [log(Solar)],Stellar Luminosity Limit Flag,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Limit Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Total Proper Motion [mas/yr],Total Proper Motion Upper Unc [mas/yr],Total Proper Motion Lower Unc [mas/yr],Proper Motion (RA) [mas/yr],Proper Motion (RA) [mas/yr] Upper Unc,Proper Motion (RA) [mas/yr] Lower Unc,Proper Motion (Dec) [mas/yr],Proper Motion (Dec) [mas/yr] Upper Unc,Proper Motion (Dec) [mas/yr] Lower Unc,Distance [pc],Distance [pc] Upper Unc,Distance [pc] Lower Unc,B (Johnson) Magnitude,B (Johnson) Magnitude Upper Unc,B (Johnson) Magnitude Lower Unc,V (Johnson) Magnitude,V (Johnson) Magnitude Upper Unc,V (Johnson) Magnitude Lower Unc,J (2MASS) Magnitude,J (2MASS) Magnitude Upper Unc,J (2MASS) Magnitude Lower Unc,H (2MASS) Magnitude,H (2MASS) Magnitude Upper Unc,H (2MASS) Magnitude Lower Unc,Ks (2MASS) Magnitude,Ks (2MASS) Magnitude Upper Unc,Ks (2MASS) Magnitude Lower Unc,Gaia Magnitude,Gaia Magnitude Upper Unc,Gaia Magnitude Lower Unc,TESS Magnitude,TESS Magnitude Upper Unc,TESS Magnitude Lower Unc,Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
11 Com b,11 Com,2,1,0,0,Radial Velocity,2007,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,0,323.21,0.0,12.2,0.0,4914.89849,0.0,14.9,0.0,4874.0,0.0,13.76,0.0,2.09,0.64,-0.63,0.0,1.978,0.0,2.45,0.0,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846,1.9238,-1.9238,5.726,0.017,-0.017,4.72307,0.023,-0.023,2.943,0.334,-0.334,2.484,0.268,-0.268,2.282,0.346,-0.346,4.44038,0.0038479,-0.0038479,3.8379,0.0071,-0.0071,1,2,0,0,0
11 UMi b,11 UMi,1,1,0,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,0,516.21997,0.0,12.3,0.0,4684.8142,0.0,13.8,0.0,4213.0,0.0,29.79,0.0,2.78,0.69,-0.69,0.0,2.43,0.0,1.93,0.0,41.04437,108.719,74.95821,141.64699,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321,1.9765,-1.9765,6.382,0.045,-0.045,5.013,0.005,-0.005,2.876,0.23,-0.23,2.091,0.194,-0.194,1.939,0.27,-0.27,4.56216,0.0039035,-0.0039035,3.82294,0.0075,-0.0075,1,1,0,0,0
14 And b,14 And,1,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,186.76,0.0,13.1,0.0,1131.1513,0.0,2.76,0.0,4888.0,0.0,11.55,0.0,1.78,0.43,-0.29,0.0,1.84,0.0,2.55,0.0,-21.05141,106.41269,38.22901,11.95935,299.2526179,0.1826842,-0.1826842,287.292,0.18578,-0.18578,-83.7582,0.141256,-0.141256,75.4392,0.714,-0.714,6.256,0.017,-0.017,5.23133,0.023,-0.023,3.019,0.18,-0.18,2.608,0.184,-0.184,2.331,0.24,-0.24,4.91781,0.0028262,-0.0028262,4.3214,0.0073,-0.0073,1,1,0,0,0
14 Her b,14 Her,1,2,0,0,Radial Velocity,2002,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,0,1765.0389,0.0,12.6,0.0,2559.47216,0.0,7.03,0.0,5338.0,0.0,0.93,0.0,0.91,0.11,-0.11,0.0,-0.153,0.0,4.45,0.0,46.94447,69.16849,62.87885,223.24717,324.5303062,0.0424169,-0.0424169,132.019,0.0385189,-0.0385189,-296.464,0.0431481,-0.0431481,17.9323,0.0073,-0.0073,7.495,0.02,-0.02,6.61935,0.023,-0.023,5.158,0.029,-0.029,4.803,0.016,-0.016,4.714,0.016,-0.016,6.383,0.0003512,-0.0003512,5.8631,0.006,-0.006,1,4,1,0,0
16 Cyg B b,16 Cyg B,3,1,0,0,Radial Velocity,1996,Multiple Observatories,Multiple Telescopes,Multiple Instruments,0,798.5,0.0,13.5,0.0,565.7374,0.0,1.26,0.0,5750.0,0.0,1.13,0.0,1.08,0.04,-0.04,0.0,0.097,0.0,4.36,0.0,13.20446,83.33558,69.46803,321.21176,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397,0.011,-0.0111,6.876,0.0724983,-0.0724983,6.215,0.016,-0.016,4.993,0.037,-0.037,4.695,0.036,-0.036,4.651,0.016,-0.016,6.06428,0.0006029,-0.0006029,5.6281,0.006,-0.006,1,4,3,0,0
17 Sco b,17 Sco,1,1,0,0,Radial Velocity,2020,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,0,578.38,0.0,12.9,0.0,1373.01872,0.0,3.51,0.0,4157.0,0.0,25.92,0.0,1.22,0.13,-0.14,0.0,2.254,0.0,1.7,0.0,27.34301,1.30262,9.21181,243.70449,10.6681995,0.2982626,-0.2982626,-5.62983,0.320487,-0.320487,-9.06176,0.289228,-0.289228,124.953,2.59,-2.59,6.615,0.015,-0.015,5.22606,0.023,-0.023,2.943,0.27,-0.27,2.266,0.228,-0.228,2.094,0.244,-0.244,4.75429,0.005055,-0.005055,3.97655,0.008,-0.008,0,0,0,0,0
18 Del b,18 Del,2,1,0,0,Radial Velocity,2008,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,982.85,0.0,12.5,0.0,2926.24614,0.0,8.23,0.0,4980.0,0.0,8.8,0.0,2.1,0.13,-0.09,0.0,1.634,0.0,2.87,0.0,-21.9748,58.69121,26.78678,320.58706,60.6038527,0.1566766,-0.1566766,-50.0335,0.147366,-0.147366,-34.1976,0.174949,-0.174949,76.222,0.6217,-0.6217,6.43,0.018,-0.018,5.51048,0.023,-0.023,4.032,0.236,-0.236,3.44,0.186,-0.186,3.366,0.204,-0.204,5.27476,0.0026539,-0.0026539,4.7181,0.0067,-0.0067,1,1,0,0,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,0,Imaging,2008,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,0,,,18.647,0.0,3000.0,0.0,2.54,0.0,4060.0,0.0,1.31,0.0,0.85,0.2,-0.1,0.0,-0.37,0.0,4.0,0.0,22.03031,352.8905,-0.06852,244.36567,25.3771704,0.0887954,-0.0887954,-10.2743,0.112028,-0.112028,-23.2043,0.0834861,-0.0834861,139.135,1.332,-1.307,14.168,0.049,-0.049,12.618,0.069,-0.069,9.82,0.027,-0.027,9.121,0.023,-0.023,8.916,0.021,-0.021,12.0572,0.002275,-0.002275,11.1941,0.0075,-0.0075,0,0,0,0,0
24 Boo b,24 Boo,1,1,0,0,Radial Velocity,2018,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,0,30.33,0.0,13.9,0.0,280.64248,0.0,0.574,0.0,4816.0,0.0,12.19,0.0,1.05,0.27,-0.18,0.0,1.877,0.0,2.28,0.0,60.6447,90.16373,58.88795,185.91956,307.6469784,0.0965492,-0.0965492,-304.064,0.0962139,-0.0962139,-46.8161,0.109763,-0.109763,95.9863,0.63685,-0.63685,6.439,0.0316386,-0.0316386,5.59,0.001,-0.001,3.845,0.24,-0.24,3.34,0.19,-0.19,3.159,0.28,-0.28,5.3339,0.0019998,-0.0019998,4.7812,0.0064,-0.0064,1,0,0,0,0
24 Sex b,24 Sex,1,2,0,0,Radial Velocity,2010,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,0,452.8,0.0,13.4,0.0,632.46,0.0,1.44,0.0,5098.0,0.0,4.9,0.0,1.54,0.08,-0.08,0.0,1.164,0.0,3.5,0.0,44.7158,245.08569,-10.19818,157.99391,74.6277468,0.1879011,-0.1879011,65.2199,0.166731,-0.166731,-36.2721,0.244089,-0.244089,72.0691,0.6854,-0.6728,7.399,0.019,-0.019,6.4535,0.023,-0.023,5.292,0.338,-0.338,4.486,0.076,-0.076,4.285,0.016,-0.016,6.20374,0.0004976,-0.0004976,5.6416,0.006,-0.006,1,2,1,0,0
