Number of Stars,Number of Planets,Number of Moons,Circumbinary Flag,Discovery Year,Detected by Radial Velocity Variations,Detected by Pulsar Timing Variations,Detected by Pulsation Timing Variations,Detected by Transits,Detected by Astrometric Variations,Detected by Orbital Brightness Modulations,Detected by Microlensing,Detected by Eclipse Timing Variations,Detected by Imaging,Detected by Disk Kinematics,Controversial Flag,Galactic Latitude [deg],Galactic Longitude [deg],Ecliptic Latitude [deg],Ecliptic Longitude [deg],Number of Photometry Time Series,Number of Radial Velocity Time Series,Number of Stellar Spectra Measurements,Number of Emission Spectroscopy Measurements,Number of Transmission Spectroscopy Measurements
2,1,0,0,2007,1,0,0,0,0,0,0,0,0,0,0,78.28058,264.13775,18.33392,177.4179,1,2,0,0,0
1,1,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,41.04437,108.719,74.95821,141.64699,1,1,0,0,0
1,1,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,-21.05141,106.41269,38.22901,11.95935,1,1,0,0,0
1,2,0,0,2002,1,0,0,0,0,0,0,0,0,0,0,46.94447,69.16849,62.87885,223.24717,1,4,1,0,0
3,1,0,0,1996,1,0,0,0,0,0,0,0,0,0,0,13.20446,83.33558,69.46803,321.21176,1,4,3,0,0
1,1,0,0,2020,1,0,0,0,0,0,0,0,0,0,0,27.34301,1.30262,9.21181,243.70449,0,0,0,0,0
2,1,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,-21.9748,58.69121,26.78678,320.58706,1,1,0,0,0
1,1,0,0,2008,0,0,0,0,0,0,0,0,1,0,0,22.03031,352.8905,-0.06852,244.36567,0,0,0,0,0
1,1,0,0,2018,1,0,0,0,0,0,0,0,0,0,0,60.6447,90.16373,58.88795,185.91956,1,0,0,0,0
1,2,0,0,2010,1,0,0,0,0,0,0,0,0,0,0,44.7158,245.08569,-10.19818,157.99391,1,2,1,0,0
1,2,0,0,2010,1,0,0,0,0,0,0,0,0,0,0,44.7158,245.08569,-10.19818,157.99391,1,2,1,0,0
1,1,0,0,2021,0,0,0,0,0,0,0,0,1,0,0,-13.44593,172.81975,4.72193,71.58413,0,0,0,0,0
2,1,0,1,2013,0,0,0,0,0,0,0,0,1,0,0,-61.77586,299.26888,-54.69414,341.46812,0,0,0,0,0
1,1,0,0,2013,0,0,0,0,0,0,0,0,1,0,0,-82.5199,195.45385,-30.71197,8.62267,0,0,0,0,0
1,1,0,0,2015,0,0,0,0,0,0,0,0,1,0,0,-67.98402,252.45343,-49.30514,13.50901,0,0,0,0,0
1,1,0,0,2010,0,0,0,0,0,0,0,0,1,0,0,-15.11435,176.51065,0.80236,72.05025,0,0,0,0,0
1,1,0,0,2004,0,0,0,0,0,0,0,0,1,0,0,22.54309,293.79011,-35.03506,199.74342,0,0,0,0,0
2,3,0,1,2015,0,0,0,0,0,0,0,1,0,0,0,11.67426,79.01876,65.72534,314.70935,0,0,0,0,0
1,1,0,0,2016,0,0,0,0,0,0,0,0,1,0,0,-9.10923,100.74846,50.8533,6.85902,0,0,0,0,0
4,1,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,-32.3093,151.47681,8.85457,44.56452,1,1,0,0,0
1,1,0,0,2006,1,0,0,0,0,0,0,0,0,0,0,35.95654,151.35882,44.02809,112.80905,1,0,0,0,0
2,1,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,27.12504,95.41912,87.18291,342.26846,1,1,0,0,0
1,3,0,0,1996,1,0,0,0,0,0,0,0,0,0,0,63.3677,175.78305,31.06122,149.06831,1,9,3,0,0
1,3,0,0,2001,1,0,0,0,0,0,0,0,0,0,0,63.3677,175.78305,31.06122,149.06831,1,9,3,0,0
1,3,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,63.3677,175.78305,31.06122,149.06831,1,9,3,0,0
